Strain,Replicate,ZOI (mm),Filter
Ancestor,1,2.619,A
Ancestor,1,2.626,A
Ancestor,1,3.103,A
Monoculture,1,5.497,B
Monoculture,1,5.392,B
Monoculture,1,6.204,B
Monoculture,2,4.896,B
Monoculture,2,5.546,B
Monoculture,2,4.61,B
Monoculture,3,5.895,B
Monoculture,3,5.526,B
Monoculture,3,3.251,B
Monoculture,4,3.961,B
Monoculture,4,4.717,B
Monoculture,4,4.745,B
Monoculture,5,5.406,B
Monoculture,5,5.17,B
Monoculture,5,5.14,B
Coevolved,1,1.305,A
Coevolved,1,2.14,A
Coevolved,1,1.326,A
Coevolved,2,1.997,A
Coevolved,2,2.004,A
Coevolved,2,2.17,A
Coevolved,3,1E-12,A
Coevolved,3,2E-12,A
Coevolved,3,3E-12,A
Coevolved,4,2.062,A
Coevolved,4,2.042,A
Coevolved,4,2.073,A
Coevolved,5,1.972,A
Coevolved,5,3.077,A
Coevolved,5,2.309,A
TolC_delta33bp,1,2.475,A
TolC_delta33bp,1,3.166,A
TolC_delta33bp,1,3.111,A
